operator_type,batch_size,seq_len,hidden_dim1,hidden_dim2,latency_ms,memory_footprint_mb,flops,arithmetic_intensity
gemm,1,1,128,128,0.012083200365304947,0.03173828125,32768,0.9846153846153847
gemm,1,1,128,256,0.014745600521564484,0.063232421875,65536,0.9884169884169884
gemm,1,1,128,512,0.015564799308776855,0.126220703125,131072,0.9903288201160542
gemm,1,1,128,1024,0.014950400590896607,0.252197265625,262144,0.9912875121006777
gemm,1,1,128,2048,0.015769599378108977,0.504150390625,524288,0.9917675544794189
gemm,1,1,256,128,0.010239999741315842,0.063232421875,65536,0.9884169884169884
gemm,1,1,256,256,0.01515520066022873,0.1259765625,131072,0.9922480620155039
gemm,1,1,256,512,0.01515520066022873,0.25146484375,262144,0.9941747572815534
gemm,1,1,256,1024,0.013516800105571746,0.50244140625,524288,0.9951409135082604
gemm,1,1,256,2048,0.015360000729560851,1.00439453125,1048576,0.9956246961594555
gemm,1,1,512,128,0.010035199671983719,0.126220703125,131072,0.9903288201160542
gemm,1,1,512,256,0.01372160017490387,0.25146484375,262144,0.9941747572815534
gemm,1,1,512,512,0.01515520066022873,0.501953125,524288,0.9961089494163424
gemm,1,1,512,1024,0.013926400244235993,1.0029296875,1048576,0.997078870496592
gemm,1,1,512,2048,0.015360000729560851,2.0048828125,2097152,0.997564539698003
gemm,1,1,1024,128,0.010239999741315842,0.252197265625,262144,0.9912875121006777
gemm,1,1,1024,256,0.011264000087976456,0.50244140625,524288,0.9951409135082604
gemm,1,1,1024,512,0.010239999741315842,1.0029296875,1048576,0.997078870496592
gemm,1,1,1024,1024,0.011264000087976456,2.00390625,2097152,0.9980506822612085
gemm,1,1,1024,2048,0.013312000036239623,4.005859375,4194304,0.9985372988785958
gemm,1,1,2048,128,0.010035199671983719,0.504150390625,524288,0.9917675544794189
gemm,1,1,2048,256,0.011673600226640702,1.00439453125,1048576,0.9956246961594555
gemm,1,1,2048,512,0.012697599828243256,2.0048828125,2097152,0.997564539698003
gemm,1,1,2048,1024,0.011468800157308579,4.005859375,4194304,0.9985372988785958
gemm,1,1,2048,2048,0.012697599828243256,8.0078125,8388608,0.9990243902439024
gemm,1,2,128,128,0.010444799810647965,0.0322265625,65536,1.9393939393939394
gemm,1,2,128,256,0.012902399897575379,0.06396484375,131072,1.9541984732824427
gemm,1,2,128,512,0.010649599879980088,0.12744140625,262144,1.9616858237547892
gemm,1,2,128,1024,0.010649599879980088,0.25439453125,524288,1.965451055662188
gemm,1,2,128,2048,0.011059200018644333,0.50830078125,1048576,1.967339097022094
gemm,1,2,256,128,0.011878400295972823,0.06396484375,131072,1.9541984732824427
gemm,1,2,256,256,0.012083200365304947,0.126953125,262144,1.9692307692307693
gemm,1,2,256,512,0.010649599879980088,0.2529296875,524288,1.9768339768339769
gemm,1,2,256,1024,0.011878400295972823,0.5048828125,1048576,1.9806576402321083
gemm,1,2,256,2048,0.012492799758911132,1.0087890625,2097152,1.9825750242013553
gemm,1,2,512,128,0.011468800157308579,0.12744140625,262144,1.9616858237547892
gemm,1,2,512,256,0.011878400295972823,0.2529296875,524288,1.9768339768339769
gemm,1,2,512,512,0.012083200365304947,0.50390625,1048576,1.9844961240310077
gemm,1,2,512,1024,0.01228799968957901,1.005859375,2097152,1.9883495145631067
gemm,1,2,512,2048,0.011673600226640702,2.009765625,4194304,1.9902818270165208
gemm,1,2,1024,128,0.020070399343967437,0.25439453125,524288,1.965451055662188
gemm,1,2,1024,256,0.018438400328159334,0.5048828125,1048576,1.9806576402321083
gemm,1,2,1024,512,0.018432000279426576,1.005859375,2097152,1.9883495145631067
gemm,1,2,1024,1024,0.012083200365304947,2.0078125,4194304,1.9922178988326849
gemm,1,2,1024,2048,0.012492799758911132,4.01171875,8388608,1.994157740993184
gemm,1,2,2048,128,0.031539198756217954,0.50830078125,1048576,1.967339097022094
gemm,1,2,2048,256,0.031539198756217954,1.0087890625,2097152,1.9825750242013553
gemm,1,2,2048,512,0.012492799758911132,2.009765625,4194304,1.9902818270165208
gemm,1,2,2048,1024,0.013516800105571746,4.01171875,8388608,1.994157740993184
gemm,1,2,2048,2048,0.011878400295972823,8.015625,16777216,1.996101364522417
gemm,1,4,128,128,0.012902399897575379,0.033203125,131072,3.764705882352941
